horizon_minutes,model,mae,rmse,r2
1,random_forest,0.08085515320764022,0.2093840697776981,0.9453929468673391
1,linear_regression_scaled,0.08902328204312136,0.22077912628199878,0.9392875879504414
1,baseline_persistence,0.0719155385951728,0.2215135779429908,0.9388829799558955
1,baseline_mean,0.7263420337757702,0.9009362113036126,-0.010996267951310701
15,random_forest,0.3365586524455166,0.5624738588240282,0.6059382230852819
15,linear_regression_scaled,0.35584606961007886,0.6041426312068705,0.5453904128062321
15,baseline_persistence,0.38070203810746117,0.6990698446786281,0.39130355947851225
15,baseline_mean,0.7263376868682708,0.9009351252759109,-0.010989542854073608
60,random_forest,0.502209073814607,0.7326503927251177,0.33142691210788966
60,linear_regression_scaled,0.5573471374972353,0.778654366241589,0.2448299389861225
60,baseline_mean,0.7263243846078832,0.9009312565805235,-0.010970833350488318
60,baseline_persistence,0.5902272443342638,0.9515875367358767,-0.12785380240365263
